Day,種別,PhaseLabel,TermID,Term,Category,Importance,Batch,PDFファイル,PDFパス,短い意味
1,新規,Phase 1: 企画の最上位概念,001,コンセプト,ゲーム企画,A,batch_002,game_terms_batch_002.pdf,output/pdf/game_terms_batch_002.pdf,このゲームが「何のゲームで、誰のために、なぜ面白いのか」を一言で表した企画の核。
1,新規,Phase 1: 企画の最上位概念,002,ゲームコンセプト,ゲーム企画,A,batch_001,game_terms_batch_001.pdf,output/pdf/game_terms_batch_001.pdf,コンセプトをゲームの方向性・コア体験・差別化要素に落とし込んだもの。
1,新規,Phase 1: 企画の最上位概念,092,企画書,ポートフォリオ・面接,A,batch_001,game_terms_batch_001.pdf,output/pdf/game_terms_batch_001.pdf,ゲームの目的・体験・仕様・差別化を、読み手に伝えるためのプランナーの主成果物。
2,新規,Phase 1: 企画の最上位概念,003,ターゲットユーザー,ゲーム企画,A,batch_002,game_terms_batch_002.pdf,output/pdf/game_terms_batch_002.pdf,このゲームを誰に遊んでほしいかを年齢・嗜好・プレイスタイルなどで定義した想定プレイヤー像。
2,新規,Phase 1: 企画の最上位概念,004,ペルソナ,ゲーム企画,A,batch_002,game_terms_batch_002.pdf,output/pdf/game_terms_batch_002.pdf,ターゲットユーザーをさらに具体化した、架空の1人の人物像。名前・職業・遊び方まで設定する。
2,新規,Phase 1: 企画の最上位概念,005,ゲームジャンル,ゲーム企画,A,batch_002,game_terms_batch_002.pdf,output/pdf/game_terms_batch_002.pdf,アクション、RPG、パズル、シミュレーションなど、ゲームの基本形式の分類。
3,新規,Phase 1: 企画の最上位概念,009,コアループ,ゲームデザイン,A,batch_001,game_terms_batch_001.pdf,output/pdf/game_terms_batch_001.pdf,ゲームの中核で最も頻繁に繰り返される短いループ。コア体験を生み出す最小単位。
3,新規,Phase 1: 企画の最上位概念,011,メカニクス,ゲームデザイン,A,batch_001,game_terms_batch_001.pdf,output/pdf/game_terms_batch_001.pdf,プレイヤーが行える行動と、それが起こすルールの仕組み(撃つ・ジャンプする・アイテム合成など)。
3,新規,Phase 1: 企画の最上位概念,033,コア体験,プレイヤー体験,A,batch_001,game_terms_batch_001.pdf,output/pdf/game_terms_batch_001.pdf,プレイヤーがそのゲームから得る、最も中核となる感情体験(爽快感・達成感・征服感など)。
4,新規,Phase 1: 企画の最上位概念,008,ゲームループ,ゲームデザイン,A,batch_002,game_terms_batch_002.pdf,output/pdf/game_terms_batch_002.pdf,プレイヤーが繰り返す「行動 → 結果 → 報酬 → 次の行動」の一連の流れ。
4,新規,Phase 1: 企画の最上位概念,012,ゲーム性,ゲームデザイン,A,batch_002,game_terms_batch_002.pdf,output/pdf/game_terms_batch_002.pdf,そのゲーム独自の「遊んでいて面白い」感触を生む仕組みの総称。
4,新規,Phase 1: 企画の最上位概念,013,リプレイ性,ゲームデザイン,A,batch_002,game_terms_batch_002.pdf,output/pdf/game_terms_batch_002.pdf,クリア後やセッション後に、もう一度プレイしたくなる度合い。
5,新規,Phase 1: 企画の最上位概念,042,ゲームシステム,ゲームシステム,A,batch_003,game_terms_batch_003.pdf,output/pdf/game_terms_batch_003.pdf,プレイヤーが触れるゲーム内の仕組み一式(戦闘、成長、経済、ミッションなど)の総称。
5,新規,Phase 1: 企画の最上位概念,049,仕様書,開発工程,A,batch_001,game_terms_batch_001.pdf,output/pdf/game_terms_batch_001.pdf,ゲームの仕組み・画面・データを、開発者が実装できるレベルまで言語化した文書。
5,新規,Phase 1: 企画の最上位概念,056,プロトタイプ,プロトタイプ・検証,A,batch_001,game_terms_batch_001.pdf,output/pdf/game_terms_batch_001.pdf,面白さやコア体験が成立するか確認するための、簡素な検証用ビルド。
6,新規,Phase 1: 企画の最上位概念,050,イテレーション,開発工程,A,batch_004,game_terms_batch_004.pdf,output/pdf/game_terms_batch_004.pdf,作る → 試す → 直すを短いサイクルで繰り返す進め方。
6,新規,Phase 1: 企画の最上位概念,061,プレイテスト,テスト・改善,A,batch_004,game_terms_batch_004.pdf,output/pdf/game_terms_batch_004.pdf,実プレイヤーに遊んでもらい、面白さ・難易度・操作などの体験を検証する作業。
6,新規,Phase 1: 企画の最上位概念,063,バランス調整,テスト・改善,A,batch_004,game_terms_batch_004.pdf,output/pdf/game_terms_batch_004.pdf,難易度・パラメータ・経済などを調整し、適切な体験になるようにすること。
7,新規,Phase 1: 企画の最上位概念,065,バグ,テスト・改善,A,batch_004,game_terms_batch_004.pdf,output/pdf/game_terms_batch_004.pdf,プログラム・仕様の不具合により意図しない挙動が起きる現象。
7,新規,Phase 1: 企画の最上位概念,066,QA,テスト・改善,A,batch_004,game_terms_batch_004.pdf,output/pdf/game_terms_batch_004.pdf,Quality Assurance。品質保証全般を担う工程・部署。
7,新規,Phase 1: 企画の最上位概念,094,ゲームエンジン,Unity / 開発実装,A,batch_005,game_terms_batch_005.pdf,output/pdf/game_terms_batch_005.pdf,ゲーム制作に必要な機能をまとめた基盤ソフト(Unity、Unreal Engine など)。
8,新規,Phase 1: 企画の最上位概念,091,ポートフォリオ,ポートフォリオ・面接,A,batch_001,game_terms_batch_001.pdf,output/pdf/game_terms_batch_001.pdf,自分の制作物・企画・成果をまとめた作品集。
